Type		Date    Hour	min_ask	  max_ask	avg_ask      min_bid	max_bid    avg_bid	direction(label)
EUR/USD		20150119 14	1.16007	  1.16268       1.16153      1.16	1.16262	   1.16148	   1
EUR/USD		20150119 15	1.16146	  1.16392       1.16289      1.1614	1.16387	   1.16284	   1
EUR/USD		20150119 16	1.1621	  1.16391       1.16294      1.16203	1.16386	   1.16288	   1
EUR/USD		20150119 17	1.16032	  1.16301       1.16201      1.16025	1.16293	   1.16193	   -1
EUR/USD		20150119 18	1.16038	  1.16174       1.16120      1.16025	1.16165	   1.16109	   -1
EUR/USD		20150119 19	1.16022	  1.16174       1.16114      1.1601	1.16153	   1.16101	   -1
EUR/USD		20150119 20	1.16021	  1.16106       1.16064      1.16011	1.16095	   1.16051	   -1
EUR/USD		20150119 21	1.16055	  1.16122       1.16084      1.1602	1.161	   1.16066	   1
EUR/USD		20150119 22	1.16035	  1.16093       1.16068      1.16035	1.16083	   1.16048	   -1
EUR/USD		20150120 23	1.15915	  1.16073       1.15996      1.15907	1.16061	   1.15986	   -1
EUR/USD		20150120 0	1.15835	  1.16021       1.15935      1.15823	1.16012	   1.15927	   -1
EUR/USD		20150120 1	1.1573	  1.15896       1.15810      1.15725	1.1589	   1.15803	   -1
EUR/USD		20150120 2	1.15808	  1.15901       1.15863      1.158	1.15894	   1.15856	   1
EUR/USD		20150120 3	1.15767	  1.15863       1.15813      1.15757	1.15852	   1.15806	   -1
EUR/USD		20150120 4	1.15751	  1.15835       1.15791      1.15744	1.15827	   1.15784	   -1
EUR/USD		20150120 5	1.15755	  1.15865       1.15796      1.15751	1.15859	   1.15789	   1
EUR/USD		20150120 6	1.15687	  1.15845       1.15753      1.15679	1.15845	   1.15747	   -1
EUR/USD		20150120 7	1.15688	  1.15935       1.15839      1.1568	1.1593	   1.15833	   1
EUR/USD		20150120 8	1.15723	  1.15929       1.15828      1.15718	1.15926	   1.15823	   -1
EUR/USD		20150120 9	1.15774	  1.16125       1.15917      1.15769	1.1609	   1.15912	   1
EUR/USD		20150120 10	1.15872	  1.16158       1.16029      1.15866	1.16147	   1.16023	   1
EUR/USD		20150120 11	1.15696	  1.16067       1.15860      1.1569	1.16061	   1.15855	   -1
EUR/USD		20150120 12	1.15748	  1.1595       1.15863      1.15739	1.15942	   1.15856	   1
EUR/USD		20150120 13	1.15777	  1.1606       1.15918      1.15772	1.16053	   1.15912	   1
EUR/USD		20150120 14	1.15785	  1.16042       1.15884      1.15781	1.16039	   1.15879	   -1
EUR/USD		20150120 15	1.15709	  1.15907       1.15814      1.15704	1.15899	   1.15809	   -1
EUR/USD		20150120 16	1.15556	  1.15847       1.15696      1.15551	1.15842	   1.15690	   -1
EUR/USD		20150120 17	1.15442	  1.15682       1.15563      1.15434	1.15674	   1.15557	   -1
EUR/USD		20150120 18	1.15417	  1.15563       1.15490      1.1541	1.15554	   1.15483	   -1
EUR/USD		20150120 19	1.15408	  1.15542       1.15484      1.154	1.15534	   1.15477	   -1
EUR/USD		20150120 20	1.15466	  1.15534       1.15495      1.15459	1.15528	   1.15489	   1
EUR/USD		20150120 21	1.15494	  1.15579       1.15534      1.15478	1.15571	   1.15524	   1
EUR/USD		20150120 22	1.15532	  1.15569       1.15552      1.15502	1.15552	   1.15538	   1
EUR/USD		20150121 23	1.15431	  1.15577       1.15521      1.15421	1.15565	   1.15512	   -1
EUR/USD		20150121 0	1.15419	  1.15585       1.15506      1.1541	1.15574	   1.15499	   -1
EUR/USD		20150121 1	1.15513	  1.15654       1.15603      1.15506	1.15648	   1.15596	   1
EUR/USD		20150121 2	1.15591	  1.15689       1.15644      1.15582	1.15678	   1.15637	   1
EUR/USD		20150121 3	1.15637	  1.15739       1.15686      1.15627	1.15727	   1.15678	   1
EUR/USD		20150121 4	1.1563	  1.1576       1.15694      1.15623	1.15751	   1.15686	   1
EUR/USD		20150121 5	1.15616	  1.15764       1.15680      1.15608	1.15754	   1.15672	   -1
EUR/USD		20150121 6	1.15746	  1.1589       1.15826      1.15742	1.15882	   1.15819	   1
EUR/USD		20150121 7	1.15544	  1.15852       1.15682      1.15535	1.15845	   1.15675	   -1
EUR/USD		20150121 8	1.15473	  1.15767       1.15629      1.15467	1.1576	   1.15624	   -1
EUR/USD		20150121 9	1.15649	  1.15864       1.15739      1.15643	1.15856	   1.15734	   1
EUR/USD		20150121 10	1.15653	  1.15834       1.15733      1.15648	1.15827	   1.15727	   -1
EUR/USD		20150121 11	1.15667	  1.15844       1.15756      1.15662	1.15837	   1.15750	   1
EUR/USD		20150121 12	1.15715	  1.1594       1.15800      1.15708	1.15932	   1.15794	   1
EUR/USD		20150121 13	1.15874	  1.16373       1.16055      1.1587	1.16368	   1.16050	   1
EUR/USD		20150121 14	1.15652	  1.16816       1.16226      1.15645	1.16798	   1.16219	   1
EUR/USD		20150121 15	1.15813	  1.16605       1.16192      1.15808	1.16593	   1.16185	   -1
EUR/USD		20150121 16	1.15814	  1.1614       1.15962      1.15803	1.16134	   1.15955	   -1
EUR/USD		20150121 17	1.15663	  1.15851       1.15741      1.15656	1.15845	   1.15734	   -1
EUR/USD		20150121 18	1.15628	  1.1578       1.15712      1.15613	1.1577	   1.15703	   -1
EUR/USD		20150121 19	1.15739	  1.15967       1.15875      1.15733	1.15958	   1.15868	   1
EUR/USD		20150121 20	1.15799	  1.15913       1.15854      1.15791	1.15911	   1.15848	   -1
EUR/USD		20150121 21	1.1588	  1.16125       1.16016      1.15872	1.16111	   1.16007	   1
EUR/USD		20150121 22	1.16089	  1.16185       1.16148      1.1608	1.16167	   1.16134	   1
EUR/USD		20150122 23	1.1608	  1.16301       1.16186      1.16063	1.16291	   1.16175	   1
EUR/USD		20150122 0	1.15915	  1.16173       1.16002      1.15904	1.16163	   1.15993	   -1
EUR/USD		20150122 1	1.15989	  1.16201       1.16086      1.15977	1.16186	   1.16076	   1
EUR/USD		20150122 2	1.15972	  1.16059       1.16013      1.15963	1.16052	   1.16005	   -1
EUR/USD		20150122 3	1.15985	  1.16082       1.16031      1.15975	1.16075	   1.16022	   1
EUR/USD		20150122 4	1.15992	  1.161       1.16049      1.15982	1.16092	   1.16041	   1
EUR/USD		20150122 5	1.15893	  1.16019       1.15941      1.15885	1.16009	   1.15934	   -1
EUR/USD		20150122 6	1.15785	  1.15913       1.15850      1.1578	1.1591	   1.15844	   -1
EUR/USD		20150122 7	1.15758	  1.15946       1.15850      1.15753	1.15941	   1.15844	   1
EUR/USD		20150122 8	1.15778	  1.16178       1.15987      1.15776	1.16171	   1.15981	   1
EUR/USD		20150122 9	1.16024	  1.16301       1.16165      1.16019	1.16292	   1.16157	   1
EUR/USD		20150122 10	1.16071	  1.16395       1.16208      1.16064	1.16389	   1.16202	   1
EUR/USD		20150122 11	1.16183	  1.16448       1.16279      1.16175	1.1644	   1.16273	   1
EUR/USD		20150122 12	1.15954	  1.16612       1.16309      1.15818	1.16517	   1.16291	   1
EUR/USD		20150122 13	1.15143	  1.16413       1.15741      1.15108	1.1636	   1.15721	   -1
EUR/USD		20150122 14	1.14531	  1.1567       1.14906      1.14525	1.15658	   1.14897	   -1
EUR/USD		20150122 15	1.14138	  1.14916       1.14573      1.14133	1.14909	   1.14567	   -1
EUR/USD		20150122 16	1.14044	  1.14325       1.14190      1.14038	1.14318	   1.14184	   -1
EUR/USD		20150122 17	1.1377	  1.14158       1.14026      1.13763	1.14152	   1.14020	   -1
EUR/USD		20150122 18	1.13634	  1.13854       1.13751      1.13628	1.13844	   1.13744	   -1
EUR/USD		20150122 19	1.13699	  1.1393       1.13824      1.13693	1.13918	   1.13816	   1
EUR/USD		20150122 20	1.13526	  1.13827       1.13670      1.13518	1.13821	   1.13663	   -1
EUR/USD		20150122 21	1.1317	  1.13679       1.13426      1.13156	1.13664	   1.13415	   -1
EUR/USD		20150122 22	1.13564	  1.13713       1.13619      1.13499	1.137	   1.13603	   1
EUR/USD		20150123 23	1.13434	  1.13752       1.13617      1.1342	1.13728	   1.13605	   1
EUR/USD		20150123 0	1.13398	  1.13694       1.13561      1.13388	1.13683	   1.13552	   -1
EUR/USD		20150123 1	1.13598	  1.13749       1.13671      1.1359	1.13737	   1.13664	   1
EUR/USD		20150123 2	1.13608	  1.137       1.13648      1.136	1.13692	   1.13641	   -1
EUR/USD		20150123 3	1.13617	  1.13678       1.13647      1.13608	1.13671	   1.13640	   -1
EUR/USD		20150123 4	1.13418	  1.13668       1.13555      1.13411	1.1366	   1.13548	   -1
EUR/USD		20150123 5	1.1315	  1.13479       1.13278      1.13143	1.1347	   1.13270	   -1
EUR/USD		20150123 6	1.13175	  1.13431       1.13286      1.13166	1.13422	   1.13277	   1
EUR/USD		20150123 7	1.13297	  1.13507       1.13415      1.13289	1.13489	   1.13408	   1
EUR/USD		20150123 8	1.12587	  1.13566       1.13174      1.12578	1.13562	   1.13167	   -1
EUR/USD		20150123 9	1.12314	  1.12909       1.12645      1.12305	1.12902	   1.12638	   -1
EUR/USD		20150123 10	1.12198	  1.12461       1.12345      1.12187	1.12455	   1.12339	   -1
EUR/USD		20150123 11	1.11708	  1.12481       1.12210      1.1169	1.12474	   1.12203	   -1
EUR/USD		20150123 12	1.11149	  1.11991       1.11648      1.11138	1.11984	   1.11639	   -1
EUR/USD		20150123 13	1.11662	  1.12372       1.12022      1.11654	1.12361	   1.12014	   1
EUR/USD		20150123 14	1.12108	  1.12621       1.12358      1.12101	1.12609	   1.12350	   1
EUR/USD		20150123 15	1.12337	  1.12897       1.12629      1.12328	1.12888	   1.12620	   1
EUR/USD		20150123 16	1.12457	  1.1288       1.12715      1.12457	1.12873	   1.12707	   1
EUR/USD		20150123 17	1.1253	  1.12842       1.12679      1.1252	1.1283	   1.12670	   -1
EUR/USD		20150123 18	1.12185	  1.12583       1.12383      1.12177	1.12575	   1.12376	   -1
EUR/USD		20150123 19	1.12189	  1.12472       1.12376      1.12187	1.12462	   1.12368	   -1
EUR/USD		20150123 20	1.12083	  1.12486       1.12274      1.12072	1.12477	   1.12264	   -1
EUR/USD		20150123 21	1.12053	  1.12358       1.12161      1.12004	1.12347	   1.12147	   -1
EUR/USD		20150126 22	1.12321	  1.12903       1.12710      1.112	1.11731	   1.11371	   -1
EUR/USD		20150126 0	1.1139	  1.12035       1.11726      1.11374	1.1201	   1.11708	   1
EUR/USD		20150126 1	1.1164	  1.11912       1.11775      1.11625	1.11899	   1.11763	   1
EUR/USD		20150126 2	1.11522	  1.11749       1.11651      1.11512	1.11736	   1.11640	   -1
EUR/USD		20150126 3	1.11553	  1.1179       1.11687      1.1154	1.11777	   1.11678	   1
EUR/USD		20150126 4	1.11718	  1.11832       1.11768      1.11707	1.11824	   1.11759	   1
EUR/USD		20150126 5	1.1173	  1.11956       1.11850      1.11725	1.11945	   1.11839	   1
EUR/USD		20150126 6	1.11863	  1.1219       1.12009      1.11851	1.12179	   1.11998	   1
EUR/USD		20150126 7	1.11953	  1.12432       1.12139      1.11945	1.12424	   1.12132	   1
EUR/USD		20150126 8	1.12155	  1.12503       1.12329      1.12149	1.12494	   1.12322	   1
EUR/USD		20150126 9	1.12246	  1.12633       1.12479      1.12238	1.12616	   1.12471	   1
EUR/USD		20150126 10	1.12271	  1.12539       1.12390      1.12264	1.12532	   1.12383	   -1
EUR/USD		20150126 11	1.12245	  1.12495       1.12363      1.12239	1.12488	   1.12357	   -1
EUR/USD		20150126 12	1.1222	  1.12481       1.12325      1.12212	1.12476	   1.12319	   -1
EUR/USD		20150126 13	1.12377	  1.12772       1.12596      1.12373	1.12768	   1.12590	   1
EUR/USD		20150126 14	1.12504	  1.12753       1.12619      1.12499	1.12746	   1.12613	   1
EUR/USD		20150126 15	1.12515	  1.12855       1.12696      1.1251	1.1285	   1.12691	   1
EUR/USD		20150126 16	1.12559	  1.12915       1.12763      1.12554	1.12908	   1.12757	   1
EUR/USD		20150126 17	1.12651	  1.1296       1.12787      1.12646	1.12951	   1.12780	   1
EUR/USD		20150126 18	1.12701	  1.12835       1.12767      1.12695	1.12825	   1.12760	   -1
EUR/USD		20150126 19	1.1266	  1.12773       1.12715      1.12654	1.12765	   1.12708	   -1
EUR/USD		20150126 20	1.12594	  1.12696       1.12649      1.12585	1.1269	   1.12643	   -1
EUR/USD		20150126 21	1.12329	  1.1264       1.12433      1.12321	1.12638	   1.12423	   -1
EUR/USD		20150126 22	1.12353	  1.12483       1.12424      1.12332	1.12459	   1.12400	   -1
EUR/USD		20150127 23	1.12334	  1.12508       1.12425      1.1232	1.12497	   1.12414	   1
EUR/USD		20150127 0	1.12325	  1.12511       1.12407      1.12317	1.12503	   1.12399	   -1
EUR/USD		20150127 1	1.12346	  1.12587       1.12458      1.12336	1.12578	   1.12451	   1
EUR/USD		20150127 2	1.12388	  1.12551       1.12483      1.12377	1.12543	   1.12475	   1
EUR/USD		20150127 3	1.12367	  1.12462       1.12416      1.12359	1.12454	   1.12409	   -1
EUR/USD		20150127 4	1.1237	  1.12489       1.12438      1.12367	1.12481	   1.12431	   1
EUR/USD		20150127 5	1.12364	  1.12469       1.12408      1.12356	1.1246	   1.12401	   -1
EUR/USD		20150127 6	1.12243	  1.1248       1.12347      1.12235	1.1247	   1.12340	   -1
EUR/USD		20150127 7	1.12379	  1.12547       1.12474      1.12369	1.12541	   1.12469	   1
EUR/USD		20150127 8	1.12418	  1.1346       1.12947      1.12413	1.13453	   1.12940	   1
EUR/USD		20150127 9	1.13057	  1.1341       1.13179      1.13052	1.13399	   1.13173	   1
EUR/USD		20150127 10	1.12751	  1.13185       1.12966      1.12744	1.13179	   1.12960	   -1
EUR/USD		20150127 11	1.12615	  1.12863       1.12753      1.12609	1.12857	   1.12747	   -1
EUR/USD		20150127 12	1.12745	  1.13042       1.12894      1.12739	1.13034	   1.12886	   1
EUR/USD		20150127 13	1.12992	  1.13399       1.13210      1.12991	1.13392	   1.13203	   1
EUR/USD		20150127 14	1.13337	  1.13888       1.13672      1.13333	1.1388	   1.13666	   1
EUR/USD		20150127 15	1.13529	  1.1423       1.13849      1.13522	1.14223	   1.13841	   1
EUR/USD		20150127 16	1.13581	  1.14045       1.13806      1.13574	1.14038	   1.13800	   -1
EUR/USD		20150127 17	1.13341	  1.13752       1.13541      1.13326	1.13746	   1.13534	   -1
EUR/USD		20150127 18	1.13414	  1.13655       1.13564      1.13404	1.13646	   1.13556	   1
EUR/USD		20150127 19	1.1358	  1.13783       1.13665      1.13566	1.13773	   1.13658	   1
EUR/USD		20150127 20	1.13668	  1.13835       1.13719      1.1366	1.13794	   1.13711	   1
EUR/USD		20150127 21	1.13713	  1.13838       1.13782      1.13706	1.1382	   1.13771	   1
EUR/USD		20150127 22	1.13716	  1.13842       1.13777      1.13697	1.13821	   1.13755	   -1
EUR/USD		20150128 23	1.13616	  1.13725       1.13668      1.13601	1.13714	   1.13657	   -1
EUR/USD		20150128 0	1.13472	  1.13689       1.13578      1.13455	1.13673	   1.13568	   -1
EUR/USD		20150128 1	1.13313	  1.13563       1.13398      1.13303	1.13558	   1.13390	   -1
EUR/USD		20150128 2	1.13311	  1.13406       1.13352      1.13304	1.13399	   1.13344	   -1
EUR/USD		20150128 3	1.13349	  1.13441       1.13400      1.13344	1.13434	   1.13392	   1
EUR/USD		20150128 4	1.13329	  1.13425       1.13371      1.13324	1.13419	   1.13363	   -1
EUR/USD		20150128 5	1.13344	  1.13648       1.13452      1.13334	1.13637	   1.13445	   1
EUR/USD		20150128 6	1.13541	  1.13831       1.13697      1.13532	1.13822	   1.13689	   1
EUR/USD		20150128 7	1.1338	  1.13738       1.13577      1.13371	1.1373	   1.13571	   -1
EUR/USD		20150128 8	1.13269	  1.13586       1.13424      1.13259	1.13576	   1.13418	   -1
EUR/USD		20150128 9	1.13346	  1.13674       1.13484      1.13339	1.13666	   1.13478	   1
EUR/USD		20150128 10	1.13495	  1.13815       1.13670      1.13486	1.13808	   1.13664	   1
EUR/USD		20150128 11	1.13513	  1.13698       1.13628      1.13506	1.13689	   1.13622	   -1
EUR/USD		20150128 12	1.13511	  1.13669       1.13598      1.13504	1.13661	   1.13592	   -1
EUR/USD		20150128 13	1.13411	  1.13551       1.13480      1.13404	1.13544	   1.13474	   -1
EUR/USD		20150128 14	1.13073	  1.13534       1.13326      1.13067	1.13527	   1.13321	   -1
EUR/USD		20150128 15	1.13074	  1.1343       1.13210      1.13068	1.13422	   1.13205	   -1
EUR/USD		20150128 16	1.13323	  1.13502       1.13403      1.13315	1.13498	   1.13397	   1
EUR/USD		20150128 17	1.13404	  1.13631       1.13540      1.13404	1.13625	   1.13534	   1
EUR/USD		20150128 18	1.13323	  1.13574       1.13429      1.13187	1.13564	   1.13419	   -1
EUR/USD		20150128 19	1.13062	  1.13712       1.13361      1.13056	1.13693	   1.13347	   -1
EUR/USD		20150128 20	1.12828	  1.13158       1.12973      1.12817	1.13152	   1.12965	   -1
EUR/USD		20150128 21	1.12762	  1.12948       1.12854      1.12759	1.12941	   1.12845	   -1
EUR/USD		20150128 22	1.1273	  1.12881       1.12793      1.12718	1.12863	   1.12776	   -1
EUR/USD		20150129 23	1.1277	  1.1291       1.12844      1.12762	1.12899	   1.12834	   1
EUR/USD		20150129 0	1.12821	  1.12968       1.12901      1.12809	1.12959	   1.12893	   1
EUR/USD		20150129 1	1.1282	  1.12926       1.12878      1.12814	1.1292	   1.12871	   -1
EUR/USD		20150129 2	1.1283	  1.12944       1.12882      1.12823	1.12936	   1.12876	   1
EUR/USD		20150129 3	1.12743	  1.12861       1.12800      1.12735	1.12854	   1.12793	   -1
EUR/USD		20150129 4	1.12657	  1.12774       1.12706      1.1265	1.12765	   1.12699	   -1
EUR/USD		20150129 5	1.12624	  1.12759       1.12694      1.12614	1.12753	   1.12687	   -1
EUR/USD		20150129 6	1.12709	  1.12896       1.12808      1.12702	1.12886	   1.12801	   1
EUR/USD		20150129 7	1.12798	  1.13053       1.12937      1.12792	1.13046	   1.12931	   1
EUR/USD		20150129 8	1.12655	  1.12993       1.12816      1.12645	1.12987	   1.12811	   -1
EUR/USD		20150129 9	1.12866	  1.13198       1.13029      1.12856	1.13189	   1.13021	   1
EUR/USD		20150129 10	1.12906	  1.13166       1.13031      1.129	1.13164	   1.13026	   1
EUR/USD		20150129 11	1.1295	  1.13279       1.13125      1.12944	1.13273	   1.13120	   1
EUR/USD		20150129 12	1.12933	  1.13233       1.13086      1.12925	1.13227	   1.13081	   -1
EUR/USD		20150129 13	1.12944	  1.13268       1.13119      1.12938	1.1326	   1.13113	   1
EUR/USD		20150129 14	1.13209	  1.13495       1.13360      1.13205	1.13491	   1.13355	   1
EUR/USD		20150129 15	1.13253	  1.13682       1.13473      1.13246	1.13677	   1.13468	   1
EUR/USD		20150129 16	1.12968	  1.13411       1.13166      1.12963	1.13404	   1.13160	   -1
EUR/USD		20150129 17	1.12789	  1.13106       1.12914      1.12784	1.13099	   1.12909	   -1
EUR/USD		20150129 18	1.12951	  1.13164       1.13070      1.12945	1.13155	   1.13063	   1
EUR/USD		20150129 19	1.13058	  1.13159       1.13114      1.13051	1.13151	   1.13107	   1
EUR/USD		20150129 20	1.13075	  1.13274       1.13172      1.1307	1.13267	   1.13165	   1
EUR/USD		20150129 21	1.13178	  1.13254       1.13214      1.13169	1.13249	   1.13204	   1
EUR/USD		20150129 22	1.13181	  1.13299       1.13244      1.13163	1.13285	   1.13231	   1
EUR/USD		20150130 23	1.13261	  1.13377       1.13305      1.13249	1.1337	   1.13295	   1
EUR/USD		20150130 0	1.13206	  1.13383       1.13275      1.13188	1.1337	   1.13266	   -1
EUR/USD		20150130 1	1.13264	  1.13351       1.13314      1.13258	1.13345	   1.13306	   1
EUR/USD		20150130 2	1.13255	  1.13359       1.13313      1.13246	1.13352	   1.13306	   -1
EUR/USD		20150130 3	1.1322	  1.1334       1.13275      1.13213	1.1333	   1.13267	   -1
EUR/USD		20150130 4	1.13221	  1.13289       1.13257      1.13213	1.13282	   1.13249	   -1
EUR/USD		20150130 5	1.1328	  1.13397       1.13356      1.13271	1.1339	   1.13351	   1
EUR/USD		20150130 6	1.13305	  1.13449       1.13392      1.13296	1.13444	   1.13385	   1
EUR/USD		20150130 7	1.13213	  1.13409       1.13321      1.13207	1.134	   1.13316	   -1
EUR/USD		20150130 8	1.13255	  1.13533       1.13411      1.13249	1.13526	   1.13406	   1
EUR/USD		20150130 9	1.13046	  1.13458       1.13233      1.13041	1.13452	   1.13228	   -1
EUR/USD		20150130 10	1.1314	  1.13572       1.13322      1.13057	1.13565	   1.13315	   1
EUR/USD		20150130 11	1.13352	  1.1364       1.13530      1.13344	1.13633	   1.13525	   1
EUR/USD		20150130 12	1.13014	  1.13499       1.13286      1.13003	1.13492	   1.13281	   -1
EUR/USD		20150130 13	1.12925	  1.13398       1.13194      1.12918	1.13393	   1.13186	   -1
EUR/USD		20150130 14	1.12988	  1.13266       1.13122      1.12968	1.13257	   1.13116	   -1
EUR/USD		20150130 15	1.12812	  1.13242       1.13028      1.12802	1.13235	   1.13022	   -1
EUR/USD		20150130 16	1.1279	  1.13045       1.12924      1.12783	1.13037	   1.12918	   -1
EUR/USD		20150130 17	1.12826	  1.13069       1.12954      1.12819	1.1306	   1.12946	   1
EUR/USD		20150130 18	1.12821	  1.12991       1.12918      1.12814	1.12981	   1.12910	   -1
EUR/USD		20150130 19	1.12831	  1.13021       1.12935      1.12824	1.13009	   1.12926	   1
EUR/USD		20150130 20	1.12917	  1.13162       1.12994      1.12912	1.13153	   1.12986	   1
EUR/USD		20150130 21	1.12797	  1.13001       1.12884      1.12773	1.12998	   1.12866	   -1
EUR/USD		20150130 22	1.12971	  1.13654       1.13525      1.1211	1.12801	   1.12245	   -1
